ap_id,gu,lat,lon,install_year,설치유형,usage_gb,age_score,usage_score,density_score,cluster_k3,cluster_k3_rank
1,도봉구,37.645554,127.02675,2020.0,주요거리,40.6325061,0.3571428571428571,0.3906133580722762,0.0,1,0
2,도봉구,37.654285,127.014656,2020.0,주요거리,43.2068667,0.3571428571428571,0.3968984722326912,0.0,1,0
3,도봉구,37.6549,127.014244,2020.0,공원(하천),37.9032968,0.3571428571428571,0.38351080886083433,0.0,1,0
4,도봉구,37.65059,127.01429,2020.0,공원(하천),144.9933651,0.3571428571428571,0.5220459344197621,0.0,1,0
5,도봉구,37.651535,127.01446,2020.0,공원(하천),331.5643623,0.3571428571428571,0.6082868868078678,0.0,1,0
6,도봉구,37.65948,127.01487,2020.0,공원(하천),88.8095353,0.3571428571428571,0.47114916945666274,0.0,1,0
7,도봉구,37.657597,127.01678,2020.0,주요거리,27.5863487,0.3571428571428571,0.3512309341408466,0.0,1,0
8,도봉구,37.65776,127.01474,2020.0,주요거리,132.954568,0.3571428571428571,0.513030766287909,0.0,1,0
9,도봉구,37.648884,127.01719,2020.0,공원(하천),104.2179853,0.3571428571428571,0.4877362213903232,0.0,1,0
10,도봉구,37.65058,127.022964,2020.0,주요거리,43.1945004,0.3571428571428571,0.39686916459124816,0.0,1,0
11,도봉구,37.652245,127.023964,2020.0,주요거리,238.2091263,0.3571428571428571,0.5737709857023551,0.0,1,0
12,도봉구,37.654427,127.02256,2020.0,주요거리,5.7236141,0.3571428571428571,0.1996202960070273,0.0,1,0
13,도봉구,37.647976,127.02467,2020.0,주요거리,85.5710548,0.3571428571428571,0.4673020171953087,0.0,1,0
14,도봉구,37.648273,127.02638,2020.0,주요거리,193.9590585,0.3571428571428571,0.5523437289073279,0.0,1,0
15,도봉구,37.65094,127.02876,2020.0,주요거리,106.34347,0.3571428571428571,0.48983124062041006,0.0,1,0
16,도봉구,37.6555,127.01368,2020.0,주요거리,65.6062897,0.3571428571428571,0.4398390611839668,0.0,1,0
17,도봉구,37.653595,127.0143,2020.0,공원(하천),106.6933228,0.3571428571428571,0.4901720982608038,0.0,1,0
18,도봉구,37.652702,127.01268,2020.0,공원(하천),127.2705469,0.3571428571428571,0.508488741508079,0.0,1,0
19,도봉구,37.655457,127.014595,2020.0,주요거리,1437.0616082,0.3571428571428571,0.7616693847833256,0.0,1,0
20,도봉구,37.66136,127.01555,2020.0,주요거리,49.9224956,0.3571428571428571,0.4117132516150695,0.0,1,0
21,도봉구,37.661297,127.014786,2020.0,공원(하천),122.3282746,0.3571428571428571,0.5043727543953349,0.0,1,0
22,도봉구,37.657005,127.01854,2020.0,주요거리,63.3413818,0.3571428571428571,0.43621499475176206,0.0,1,0
23,도봉구,37.648834,127.021835,2020.0,주요거리,103.0788717,0.3571428571428571,0.4865959487903211,0.0,1,0
24,도봉구,37.649178,127.02034,2020.0,주요거리,34.9746896,0.3571428571428571,0.37531241768176316,0.0,1,0
25,도봉구,37.657135,127.03793,2020.0,주요거리,195.1262064,0.3571428571428571,0.552968981928988,0.0,1,0
26,도봉구,37.651608,127.033844,2020.0,주요거리,5.3738981,0.3571428571428571,0.1940249106577834,0.0,1,0
27,도봉구,37.65409,127.03455,2020.0,주요거리,77.6902695,0.3571428571428571,0.45730367809393896,0.0,1,0
28,도봉구,37.65376,127.033516,2020.0,공원(하천),99.45389,0.3571428571428571,0.48288240555359185,0.0,1,0
29,도봉구,37.653683,127.03365,2020.0,공원(하천),109.7218542,0.3571428571428571,0.49307730587290266,0.0,1,0
30,도봉구,37.65397,127.036995,2020.0,주요거리,151.1365443,0.3571428571428571,0.5263636018125964,0.0,1,0
31,도봉구,37.65901,127.03498,2020.0,주요거리,229.2854191,0.3571428571428571,0.5697883815872167,0.0,1,0
32,도봉구,37.659355,127.03492,2020.0,주요거리,468.0573651,0.3571428571428571,0.6443108691401626,0.0,1,0
33,도봉구,37.66107,127.03639,2020.0,주요거리,51.2973064,0.3571428571428571,0.4145039035166982,0.0,1,0
34,도봉구,37.661465,127.034874,2020.0,주요거리,135.2699231,0.3571428571428571,0.5148259280863713,0.0,1,0
35,도봉구,37.66246,127.034775,2020.0,주요거리,70.3213808,0.3571428571428571,0.4470039263054527,0.0,1,0
36,도봉구,37.661858,127.03761,2020.0,주요거리,282.6723175,0.3571428571428571,0.5916295914760487,0.0,1,0
37,도봉구,37.650227,127.031166,2020.0,주요거리,12.429595,0.3571428571428571,0.27209269259559143,0.0,1,0
38,도봉구,37.65121,127.03524,2020.0,주요거리,227.9268609,0.3571428571428571,0.5691685608646029,0.0,1,0
39,도봉구,37.648582,127.03406,2020.0,주요거리,15.8629831,0.3571428571428571,0.29594096028683275,0.0,1,0
40,도봉구,37.648502,127.0324,2020.0,전통시장,91.9303082,0.3571428571428571,0.4747274238487225,0.0,1,0
41,도봉구,37.64792,127.03381,2020.0,주요거리,184.7658783,0.3571428571428571,0.5472838637080886,0.0,1,0
42,도봉구,37.650394,127.03341,2020.0,주요거리,193.7126094,0.3571428571428571,0.5522112250460923,0.0,1,0
43,도봉구,37.64903,127.019646,2020.0,공원(하천),25.3879934,0.3571428571428571,0.3428485112286047,0.0,1,0
44,도봉구,37.644974,127.03145,2020.0,주요거리,60.3444932,0.3571428571428571,0.4312184874888223,0.0,1,0
45,도봉구,37.648705,127.02766,2020.0,주요거리,777.1825855,0.3571428571428571,0.6973410603161214,0.0,1,0
46,도봉구,37.644882,127.02827,2020.0,공원(하천),604.6832327,0.3571428571428571,0.6710893162277264,0.0,1,0
