ap_id,gu,install_type_code,lon,lat,age_norm,usage_norm,density_norm,cluster_k3,cluster_k4
1,도봉구,1,127.02675,37.645554,0.35714285714285715,0.045683302986336584,0.007317073170731708,2,2
2,도봉구,1,127.014656,37.654285,0.35714285714285715,0.048577669357872555,0.014634146341463415,2,2
3,도봉구,3,127.014244,37.6549,0.35714285714285715,0.0426148394545364,0.012195121951219513,2,2
4,도봉구,3,127.01429,37.65059,0.35714285714285715,0.16301673358429059,0.004878048780487805,2,2
5,도봉구,3,127.01446,37.651535,0.35714285714285715,0.37277942968817446,0.012195121951219513,2,0
6,도봉구,3,127.01487,37.65948,0.35714285714285715,0.09984897550206207,0.007317073170731708,2,2
7,도봉구,1,127.01678,37.657597,0.35714285714285715,0.031015443613284815,0.004878048780487805,2,2
8,도봉구,1,127.01474,37.65776,0.35714285714285715,0.14948145438525964,0.004878048780487805,2,2
9,도봉구,3,127.01719,37.648884,0.35714285714285715,0.11717277214402957,0.0024390243902439024,2,2
10,도봉구,1,127.022964,37.65058,0.35714285714285715,0.04856376586554117,0.004878048780487805,2,2
11,도봉구,1,127.023964,37.652245,0.35714285714285715,0.2678196755320533,0.0024390243902439024,2,0
12,도봉구,1,127.02256,37.654427,0.35714285714285715,0.006435062832109109,0.0,2,2
13,도봉구,1,127.02467,37.647976,0.35714285714285715,0.09620793583804803,0.03170731707317073,2,2
14,도봉구,1,127.02638,37.648273,0.35714285714285715,0.21806910516576247,0.04878048780487805,2,2
15,도봉구,1,127.02876,37.65094,0.35714285714285715,0.11956246511823615,0.02926829268292683,2,2
16,도봉구,1,127.01368,37.6555,0.35714285714285715,0.0737614515649998,0.012195121951219513,2,2
17,도봉구,3,127.0143,37.653595,0.35714285714285715,0.1199558063538454,0.024390243902439025,2,2
18,도봉구,3,127.01268,37.652702,0.35714285714285715,0.1430908813136624,0.01707317073170732,2,2
19,도봉구,1,127.014595,37.655457,0.35714285714285715,1.0,0.00975609756097561,1,1
20,도봉구,1,127.01555,37.66136,0.35714285714285715,0.05612808418782105,0.004878048780487805,2,2
21,도봉구,3,127.014786,37.661297,0.35714285714285715,0.13753426009125336,0.004878048780487805,2,2
22,도봉구,1,127.01854,37.657005,0.35714285714285715,0.07121500439657041,0.0024390243902439024,2,2
23,도봉구,1,127.021835,37.648834,0.35714285714285715,0.11589206108233942,0.026829268292682926,2,2
